,index,diseasename,place,country,lat,lon,summary,issue_date,region/city,region/city lat,region/city lon,cases,deaths,total cases,total deaths,district
0,0,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"One case of suspected polio, 24 cases of suspected Hepatitis A and one case of hemorrhagic fever have been registered in Kosovo. ""These are the first cases registered"" in Kosovo since the end of the NATO bombing, WHO says. The reader assumes all risks in using information posted by ProMED-mail.",8/18/1999,Kosovo,42.58333,20.91667,1.0,,,,Kosovski okrug
1,1,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"5 cases of Crimean-Congo Hemorrhagic Fever (CCHF) in Kosovo region of Yugoslavia, all around the city of Pristina. Two of the cases have been ""confirmed"" 16 reports of CCHF so far this year, originating from Russia, Central Asia, South Africa and Middle East.",7/11/2000,Kosovo,42.58333,20.91667,5.0,,,,Kosovski okrug
2,2,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"Cases of Crimean-Congo hemorrhagic fever are not particularly unexpected in this region. The single confirmed case recorded in Malisevo this year has not yet been notified. The figures for the last five years are as follows: 1995 - 119 cases, 16 fatal in Peja 68/9; 1996 - 23 cases, 5 fatal inPeja 9/2; 1997 - 8 cases, none fatal; 1998 - one case; 1999 - 7 cases, two fatal; 2000 - 4 cases.",12/31/1995,Peja,42.66030928,20.28886322,,,119.0,16.0,Pecki okrug
3,3,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"Cases of Crimean-Congo hemorrhagic fever are not particularly unexpected in this region. The single confirmed case recorded in Malisevo this year has not yet been notified. The figures for the last five years are as follows: 1995 - 119 cases, 16 fatal in Peja 68/9; 1996 - 23 cases, 5 fatal inPeja 9/2; 1997 - 8 cases, none fatal; 1998 - one case; 1999 - 7 cases, two fatal; 2000 - 4 cases.",12/31/1996,Peja,42.66030928,20.28886322,,,23.0,5.0,Pecki okrug
4,4,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"Cases of Crimean-Congo hemorrhagic fever are not particularly unexpected in this region. The single confirmed case recorded in Malisevo this year has not yet been notified. The figures for the last five years are as follows: 1995 - 119 cases, 16 fatal in Peja 68/9; 1996 - 23 cases, 5 fatal inPeja 9/2; 1997 - 8 cases, none fatal; 1998 - one case; 1999 - 7 cases, two fatal; 2000 - 4 cases.",12/31/1997,Peja,42.66030928,20.28886322,,,8.0,0.0,Pecki okrug
5,5,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"Cases of Crimean-Congo hemorrhagic fever are not particularly unexpected in this region. The single confirmed case recorded in Malisevo this year has not yet been notified. The figures for the last five years are as follows: 1995 - 119 cases, 16 fatal in Peja 68/9; 1996 - 23 cases, 5 fatal inPeja 9/2; 1997 - 8 cases, none fatal; 1998 - one case; 1999 - 7 cases, two fatal; 2000 - 4 cases.",12/31/1998,Peja,42.66030928,20.28886322,,,1.0,0.0,Pecki okrug
6,6,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"Cases of Crimean-Congo hemorrhagic fever are not particularly unexpected in this region. The single confirmed case recorded in Malisevo this year has not yet been notified. The figures for the last five years are as follows: 1995 - 119 cases, 16 fatal in Peja 68/9; 1996 - 23 cases, 5 fatal inPeja 9/2; 1997 - 8 cases, none fatal; 1998 - one case; 1999 - 7 cases, two fatal; 2000 - 4 cases.",7/13/1999,Peja,42.66030928,20.28886322,,,7.0,2.0,Pecki okrug
7,7,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"Cases of Crimean-Congo hemorrhagic fever are not particularly unexpected in this region. The single confirmed case recorded in Malisevo this year has not yet been notified. The figures for the last five years are as follows: 1995 - 119 cases, 16 fatal in Peja 68/9; 1996 - 23 cases, 5 fatal inPeja 9/2; 1997 - 8 cases, none fatal; 1998 - one case; 1999 - 7 cases, two fatal; 2000 - 4 cases.",7/13/2000,Peja,42.66030928,20.28886322,1.0,,4.0,0.0,Pecki okrug
8,8,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"Crimean-Congo Hemorrhagic Fever (CCHF) in Kosovo -- WHO Update 2. 44 case alerts have been notified to the Kosovo health authorities. Of these, 12 have been confirmed, and 16 have been found negative for CCHF. A further 16 are currently under investigation.",6/16/2001,Kosovo,42.58333,20.91667,28.0,,,,Kosovski okrug
9,9,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"A ProMED-mail post is a program of the International Society for Infectious Diseases. WHO has reported 69 suspected cases of Crimean-Congo Haemorrhagic Fever in Kosovo. Of these, 18 are confirmed as Crimean-congo fever (CCHF); 15 by laboratory diagnosis.",6/30/2001,Kosovo,42.58333,20.91667,69.0,,,,Kosovski okrug
10,10,Crimean-Congo Hemorrhagic Fever,Serbia,Serbia,44,21,"4 new cases of suspected haemorrhagic fever reported in Prizren, Serbia. Overall number of persons suspected of having contracted the disease reaches 19. 3 of the confirmed cases were confirmed in Ljubljana, Slovenia. Crimean-Congo hemorrhagic fever is a severe tick-borne disease.",6/26/2004,Prizren,42.21389,20.739720000000002,4.0,,,,Prizrenski okrug
11,11,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"CCHF is spread from birds and livestock to man by tick bite, and has a 50% mortality rate. We are seeing a fair amount of CCHF in Balochistan, which is proving to beinteresting. We have at least two other cases now serologically confirmed, and we are proposing to set up surveillance in Quetta.",9/13/1995,Balochistan,28.47849,65.64355,2.0,,,,Kalat
12,12,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Four cases of Crimean-Congo haemorrhagic fever have been diagnosed in Pakistan. The four cases belonged to the same family of herders living in close contact with their sheep. The reader assumes all risks in using information posted or archived by ProMED-mail. The accuracy and completeness of the information posted is not guaranteed.,5/9/1998,,,,4.0,,,,
13,13,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"In December 1994 in a private hospital in Quetta, Pakistan, 3 health-workers contracted Crimean-Congo Haemorrhagic Fever (CCHF) after actively bleeding patient who later died. Two of 4 people exposed percutaneously, i.e. blood crossing breached skin, contracted CCHF, and 1 of 5 with cutaneous exposure,.i. blood touching intact skin. No anti-C CHF antibodies or cases among persons who had body fluids other than blood contact skin.",8/11/1998,Quetta,30.184140000000003,67.00140999999999,3.0,1.0,,,Quetta
14,14,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A patient from Baluchistan, and a male nursing assistant attending the patient, died on Fri 3 Nov 2000 in the Aga Khan Private Hospital. The disease was confirmed as Crimean Congo Hemorrhagic Fever (CCHF) after blood samples were sent to the Centers for Disease Control in the United States. CCHF was first detected in Crimea in 1944 and again in Congo in 1956.",11/8/2000,Balochistan,28.47849,65.64355,0.0,2.0,,,Kalat
15,15,Crimean-Congo Hemorrhagic Fever,"Sindh, Pakistan",Pakistan,26,69,"A new case of Congo-Crimean hemorrhagic fever (CCHF) has been admitted to Jinnah Postgraduate Medical Centre (JPMC) The patient has been moved to an isolation ward in the Medical Intensive Care Unit (ICU) to prevent other patients from contracting the viral infection. So far 14 CCHF patients had been brought to the hospital, and 5 of them had died. 10 people have died at various Karachi hospitals because of CCHf this year.",9/22/2018,Jinnah Postgraduate Medical Centre,24.85223043,67.04427518,1.0,5.0,,,Karachi
16,16,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Crimean-Congo hemorrhagic fever has reportedly hit northern parts of Pakistan. 2 nurses at the Shifa International Hospital were found to be suffering from the same disease. The disease originated in Africa in 1967 and is still common there. A doctor at the hospital said there was no chance of an epidemic spreading in Islamabad.,4/4/2001,Faisalabad,31.413,73.178,2.0,0.0,,,Faisalabad
17,17,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Deaths in Islamabad and Peshawar Confirmed as Cases of Crimean-Congo hemorrhagic fever (CCHF) 2 people who died in Pakistan and whose blood samples had been sent to the NIV were victims of CCHF. The NIH had sent the blood samples of the 3, which confirmed 3, that the [s from the 2 deceased patients were that the virus-positive]. It, however, was not available for confirmation of the virus.",4/24/2001,Islamabad,33.72148,73.04329,,2.0,,,Islamabad
18,18,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Crimean-Congo hemorrhagic fever is suspected in Pakistan. 2 people have died and 4 more are fighting for their lives in Quetta. The same acute hemorrhagic fever claimed 18 lives in Baluchistan late last year.Laboratory confirmation is lacking; the diagnosis appears to be lacking.,5/31/2001,Quetta,30.184140000000003,67.00140999999999,4.0,2.0,,,Quetta
19,19,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Only 35 cases of the virus have been reported in the Pakistani-Afghan frontier region and only 4 people are currently being treated. ""Nothing suggests it will get worse,"" said Ian Simpson of the WHO. The WHO also dismissed rumors that the disease was being spread as biological warfare.",10/10/2001,,,,35.0,,,,
20,20,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Crimean-Congo hemorrhagic fever in Pakistan is suspected to be the cause of 3 deaths. A female physician contracted the fever while taking care of a female patient brought in from Az Kashmir. She was given intravenous antiviral medication and support but developed uncontrolled hemorrhage from multiple sites and died.,2/28/2002,,,,,3.0,,,
21,21,Crimean-Congo Hemorrhagic Fever,"Balochistan, Pakistan",Pakistan,28,66,"2 people, including a staffer of Roznama Express Newspaper, have died due to [Crimean-] Congo virus in Quetta. The death toll from the virus in the city has now risen to 4 over the last 3 months. Crimean-Congo hemorrhagic fever (CCHF) is a widespread tick-borne viral disease that affects both wild and domestic animals.",10/16/2014,Quetta,30.184140000000003,67.00140999999999,,2.0,,,Quetta
22,22,Crimean-Congo Hemorrhagic Fever,"Quetta, Balochist?n, Pakistan",Pakistan,30,67,"11 cases of suspected CCHF have been admitted to the TB hospital in Quetta [Balochistan] since 1 Oct [2015]. All had a history of animal handling due to Eidul Azha [Islamic Feast of Sacrifice]. Of these, 3 of them died and one is still in critical condition. Samples for C CHF tests have been dispatched to NIH.",10/7/2015,Quetta,30.184140000000003,67.00140999999999,11.0,3.0,,,Quetta
23,23,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Crimean-Congo hemorrhagic fever (CCHF) was first reported in Pakistan in 1970. Outbreaks were reported in Baluchistan Province during the dry season in 1976, 1987, and 1994. Total cases for 2000 to 2001 are estimated at 115, with 34 to 39 deaths.",12/31/2000,,,,,,115.0,34.0,
24,24,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Hospitals in southwestern Pakistan put on high alert after 3 people from one family die of suspected Crimean-Congo hemorrhagic fever. The disease is spread by ticks from livestock and can be transmitted by infected people through their blood, saliva or droplets from sneezing. CCHF is endemic in this region.",5/12/2004,,30.0,70.0,,3.0,,,Dera Ghazi Khan
25,25,Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"3 people have died and 4 others have been admitted to hospital with suspected Crimean-Congo hemorrhagic fever in Baluchistan. The outbreak was not in Quetta, but is in rural areas. Outbreak is due to tick infestation of local livestock. About 30 per cent of people who contract the disease can die.",5/18/2004,Balochistan,28.47849,65.64355,4.0,3.0,,,Kalat
