country,district,year,PRECTOTLAND kg m-2 s-1
Serbia,Toplicki okrug,1980,2.4693705056261843e-05
Serbia,Kosovski okrug,1980,2.2749675011763453e-05
Serbia,Severnobacki okrug,1980,2.030002532254432e-05
Serbia,Pcinjski okrug,1980,2.034909677611157e-05
Serbia,Moravicki okrug,1980,3.52055514538405e-05
Serbia,Grad Beograd,1980,2.7756612810650142e-05
Serbia,Zlatiborski okrug,1980,3.431530697481675e-05
Serbia,Juznobanatski okrug,1980,2.386455081923897e-05
Serbia,Raski okrug,1980,2.9695398185067586e-05
Serbia,Pirotski okrug,1980,2.2602412942952634e-05
Serbia,Pomoravski okrug,1980,2.658531841919714e-05
Serbia,Borski okrug,1980,2.4822368753045037e-05
Serbia,Kosovskomitrovicki okrug,1980,2.998134245382447e-05
Serbia,Nisavski okrug,1980,2.3972476127040762e-05
Serbia,Macvanski okrug,1980,3.0072120794323433e-05
Serbia,Juznobacki okrug,1980,2.2220737491609713e-05
Serbia,Jablanicki okrug,1980,2.2258398511986065e-05
Serbia,Rasinski okrug,1980,2.6211966007691797e-05
Serbia,Zajecarski,1980,2.3177546455125746e-05
Serbia,Kolubarski okrug,1980,3.030789232067516e-05
Serbia,Srednjebanatski okrug,1980,2.1148171179103452e-05
Serbia,Sumadijski okrug,1980,2.801751872441274e-05
Serbia,Severnobanatski okrug,1980,1.955531703600065e-05
Serbia,Sremski,1980,2.5938331312937004e-05
Serbia,Prizrenski okrug,1980,2.7235464502734568e-05
Serbia,Branicevski okrug,1980,2.5923171633005875e-05
Serbia,Toplicki okrug,1981,2.1847067764547824e-05
Serbia,Kosovski okrug,1981,2.2230092399569105e-05
Serbia,Severnobacki okrug,1981,2.129861920686772e-05
Serbia,Pcinjski okrug,1981,2.0100641817085336e-05
Serbia,Moravicki okrug,1981,3.150073055577549e-05
Serbia,Grad Beograd,1981,2.6075824089607142e-05
Serbia,Zlatiborski okrug,1981,3.0756297040449944e-05
Serbia,Juznobanatski okrug,1981,2.4046436103159545e-05
Serbia,Raski okrug,1981,2.5898969566482163e-05
Serbia,Pirotski okrug,1981,1.9212213060547532e-05
Serbia,Pomoravski okrug,1981,2.3699077416160384e-05
Serbia,Borski okrug,1981,2.1895344777552356e-05
Serbia,Kosovskomitrovicki okrug,1981,2.6531116370323263e-05
Serbia,Nisavski okrug,1981,1.980619665668352e-05
Serbia,Macvanski okrug,1981,2.787845531078877e-05
Serbia,Juznobacki okrug,1981,2.374673784672549e-05
Serbia,Jablanicki okrug,1981,1.9319008289010577e-05
Serbia,Rasinski okrug,1981,2.248599160381559e-05
Serbia,Zajecarski,1981,1.9421873020064595e-05
Serbia,Kolubarski okrug,1981,2.788217883302006e-05
Serbia,Srednjebanatski okrug,1981,2.2623025811599165e-05
Serbia,Sumadijski okrug,1981,2.5051792499021354e-05
Serbia,Severnobanatski okrug,1981,2.1009746307735593e-05
Serbia,Sremski,1981,2.6205820606861607e-05
Serbia,Prizrenski okrug,1981,2.6820657388052876e-05
Serbia,Branicevski okrug,1981,2.4172566896080776e-05
Serbia,Toplicki okrug,1982,2.0832424433415832e-05
Serbia,Kosovski okrug,1982,1.9445641366960193e-05
Serbia,Severnobacki okrug,1982,1.659700053756473e-05
Serbia,Pcinjski okrug,1982,1.7184617104722594e-05
Serbia,Moravicki okrug,1982,2.901504687713441e-05
Serbia,Grad Beograd,1982,2.3313791265324982e-05
Serbia,Zlatiborski okrug,1982,2.8397675910933156e-05
Serbia,Juznobanatski okrug,1982,2.0431721499471047e-05
Serbia,Raski okrug,1982,2.442822841115028e-05
Serbia,Pirotski okrug,1982,1.8233244245004067e-05
Serbia,Pomoravski okrug,1982,2.1972005928855902e-05
Serbia,Borski okrug,1982,2.122930515784876e-05
Serbia,Kosovskomitrovicki okrug,1982,2.5411934758147305e-05
Serbia,Nisavski okrug,1982,1.9773062897835796e-05
Serbia,Macvanski okrug,1982,2.566244811911626e-05
Serbia,Juznobacki okrug,1982,1.8607748026471744e-05
Serbia,Jablanicki okrug,1982,1.835815094016387e-05
Serbia,Rasinski okrug,1982,2.1660623671790643e-05
Serbia,Zajecarski,1982,1.9189283289872743e-05
Serbia,Kolubarski okrug,1982,2.597849110664975e-05
Serbia,Srednjebanatski okrug,1982,1.883257682224995e-05
Serbia,Sumadijski okrug,1982,2.3051133822270407e-05
Serbia,Severnobanatski okrug,1982,1.6934978860029383e-05
Serbia,Sremski,1982,2.1951750511167096e-05
Serbia,Prizrenski okrug,1982,2.2435716116240042e-05
Serbia,Branicevski okrug,1982,2.1523974064802725e-05
Serbia,Toplicki okrug,1983,2.4205943661333624e-05
