country,district,year,temperature in (K)
Serbia,Sremski,1980,283.27212651570636
Serbia,Moravicki okrug,1980,279.73072814941406
Serbia,Nisavski okrug,1980,282.0692952473958
Serbia,Jablanicki okrug,1980,282.43556722005206
Serbia,Raski okrug,1980,280.4817250569661
Serbia,Srednjebanatski okrug,1980,283.26695251464844
Serbia,Borski okrug,1980,281.0888137817383
Serbia,Grad Beograd,1980,283.06302642822266
Serbia,Pomoravski okrug,1980,282.0057423909505
Serbia,Severnobanatski okrug,1980,282.98646291097003
Serbia,Kosovskomitrovicki okrug,1980,280.05033620198566
Serbia,Macvanski okrug,1980,282.99771881103516
Serbia,Pirotski okrug,1980,280.48621877034503
Serbia,Kolubarski okrug,1980,283.62860107421875
Serbia,Branicevski okrug,1980,282.00307591756183
Serbia,Sumadijski okrug,1980,282.56689707438153
Serbia,Juznobanatski okrug,1980,283.18082936604816
Serbia,Juznobacki okrug,1980,283.23476537068683
Serbia,Severnobacki okrug,1980,282.8645248413086
Serbia,Pcinjski okrug,1980,280.6006215413411
Serbia,Zlatiborski okrug,1980,280.58908716837567
Serbia,Kosovski okrug,1980,281.7951202392578
Serbia,Toplicki okrug,1980,281.19066365559894
Serbia,Rasinski okrug,1980,281.93030802408856
Serbia,Prizrenski okrug,1980,281.26273981730145
Serbia,Zajecarski,1980,281.87562306722003
Serbia,Sremski,1981,284.5027198791504
Serbia,Moravicki okrug,1981,280.6120147705078
Serbia,Nisavski okrug,1981,283.0386327107747
Serbia,Jablanicki okrug,1981,283.3472493489583
Serbia,Raski okrug,1981,281.4424794514974
Serbia,Srednjebanatski okrug,1981,284.32684326171875
Serbia,Borski okrug,1981,282.06519826253253
Serbia,Grad Beograd,1981,284.16868845621747
Serbia,Pomoravski okrug,1981,283.0044250488281
Serbia,Severnobanatski okrug,1981,284.202631632487
Serbia,Kosovskomitrovicki okrug,1981,281.0343017578125
Serbia,Macvanski okrug,1981,284.2045364379883
Serbia,Pirotski okrug,1981,281.2569808959961
Serbia,Kolubarski okrug,1981,284.8089421590169
Serbia,Branicevski okrug,1981,282.96645100911456
